cod_muni;cod_depto;depto_origen;muni_origen;lat;lon
15172;15;BOYACÁ;CHINAVITA;5.2062439;-73.3349582
15176;15;BOYACÁ;CHIQUINQUIRÁ;5.6234945;-73.8209479
15180;15;BOYACÁ;CHISCAS;6.6767804;-72.4067439
15183;15;BOYACÁ;CHITA;6.0653731;-72.4315575
15185;15;BOYACÁ;CHITARAQUE;6.0279763;-73.4469335
15187;15;BOYACÁ;CHIVATÁ;5.5803634;-73.248662
15189;15;BOYACÁ;CIÉNEGA;5.388622;-73.2780403
15204;15;BOYACÁ;CÓMBITA;5.6916169;-73.309147
15212;15;BOYACÁ;COPER;5.4467242;-74.0351572
15215;15;BOYACÁ;CORRALES;5.8240049;-72.8396951
15218;15;BOYACÁ;COVARACHÍA;6.5120041;-72.7318322
15223;15;BOYACÁ;CUBARÁ;7.0020076;-72.1089218
15224;15;BOYACÁ;CUCAITA;5.5252177;-73.4481267
15226;15;BOYACÁ;CUÍTIVA;5.5872812;-72.9500854
15232;15;BOYACÁ;CHÍQUIZA;5.6053336;-73.4849171
15236;15;BOYACÁ;CHIVOR;4.8600951;-73.3543529
15238;15;BOYACÁ;DUITAMA;5.8973422;-73.0691371
15244;15;BOYACÁ;EL COCUY;6.3546936;-72.4156711
15248;15;BOYACÁ;EL ESPINO;6.4825581;-72.4952026
15272;15;BOYACÁ;FIRAVITOBA;5.6748886;-73.0175711
15276;15;BOYACÁ;FLORESTA;5.8628372;-72.930006
15293;15;BOYACÁ;GACHANTIVÁ;5.7422941;-73.5360399
15296;15;BOYACÁ;GÁMEZA;5.8019513;-72.8049747
15299;15;BOYACÁ;GARAGOA;5.0822246;-73.3643092
15317;15;BOYACÁ;GUACAMAYAS;6.4432371;-72.5162424
15322;15;BOYACÁ;GUATEQUE;5.0226102;-73.4919902
15325;15;BOYACÁ;GUAYATÁ;4.937329;-73.4996735
15332;15;BOYACÁ;GÜICÁN DE LA SIERRA;;
15362;15;BOYACÁ;IZA;5.6196676;-72.9613928
15367;15;BOYACÁ;JENESANO;5.3728385;-73.3885247
15368;15;BOYACÁ;JERICÓ;6.1373495;-72.5818888
15377;15;BOYACÁ;LABRANZAGRANDE;5.5453993;-72.5974873
15380;15;BOYACÁ;LA CAPILLA;5.1111878;-73.4566653
15401;15;BOYACÁ;LA VICTORIA;5.5152589;-74.2354892
15403;15;BOYACÁ;LA UVITA;6.2665634;-72.5413107
15407;15;BOYACÁ;VILLA DE LEYVA;5.6619877;-73.5283801
15425;15;BOYACÁ;MACANAL;4.9818504;-73.2854607
15442;15;BOYACÁ;MARIPÍ;5.5495156;-74.0046921
15455;15;BOYACÁ;MIRAFLORES;5.1514125;-73.1705152
15464;15;BOYACÁ;MONGUA;5.6974591;-72.6859189
15466;15;BOYACÁ;MONGUÍ;5.6981559;-72.8319267
15469;15;BOYACÁ;MONIQUIRÁ;5.8763096;-73.5732077
15476;15;BOYACÁ;MOTAVITA;5.6124102;-73.3776615
15480;15;BOYACÁ;MUZO;5.5321291;-74.1027796
15491;15;BOYACÁ;NOBSA;5.7705609;-72.9397458
15494;15;BOYACÁ;NUEVO COLÓN;5.3528931;-73.4476892
15500;15;BOYACÁ;OICATÁ;5.6170796;-73.2748492
15507;15;BOYACÁ;OTANCHE;5.6599976;-74.1816643
15511;15;BOYACÁ;PACHAVITA;5.1496901;-73.4044916
15514;15;BOYACÁ;PÁEZ;5.0943443;-72.9879067
15516;15;BOYACÁ;PAIPA;5.7812701;-73.1176532
15518;15;BOYACÁ;PAJARITO;5.3735455;-72.675289
15522;15;BOYACÁ;PANQUEBA;6.4426674;-72.4590342
15531;15;BOYACÁ;PAUNA;5.6929617;-73.9931197
15537;15;BOYACÁ;PAZ DE RÍO;6.0268294;-72.7631496
15542;15;BOYACÁ;PESCA;5.5582793;-73.0514809
15550;15;BOYACÁ;PISBA;5.7358932;-72.4388765
15572;15;BOYACÁ;PUERTO BOYACÁ;5.9756376;-74.5882837
15580;15;BOYACÁ;QUÍPAMA;5.52297;-74.1812499
15599;15;BOYACÁ;RAMIRIQUÍ;5.3291259;-73.304206
15600;15;BOYACÁ;RÁQUIRA;5.5380119;-73.6322224
15621;15;BOYACÁ;RONDÓN;5.3607436;-73.1972901
15632;15;BOYACÁ;SABOYÁ;5.704371;-73.741339
15638;15;BOYACÁ;SÁCHICA;5.5777686;-73.539933
15646;15;BOYACÁ;SAMACÁ;5.4917892;-73.48529
15660;15;BOYACÁ;SAN EDUARDO;5.2370004;-73.0526646
15664;15;BOYACÁ;SAN JOSÉ DE PARE;6.0004695;-73.5363279
15667;15;BOYACÁ;SAN LUIS DE GACENO;4.8206297;-73.1678724
15673;15;BOYACÁ;SAN MATEO;6.4167219;-72.5768212
15676;15;BOYACÁ;SAN MIGUEL DE SEMA;5.5189895;-73.7229967
15681;15;BOYACÁ;SAN PABLO DE BORBUR;5.6516898;-74.0696951
15686;15;BOYACÁ;SANTANA;6.0555992;-73.4820924
15690;15;BOYACÁ;SANTA MARÍA;4.8208423;-73.2718839
15693;15;BOYACÁ;SANTA ROSA DE VITERBO;5.8744825;-72.9823638
15696;15;BOYACÁ;SANTA SOFÍA;5.7333558;-73.6050053
15720;15;BOYACÁ;SATIVANORTE;6.1259742;-72.7446893
15723;15;BOYACÁ;SATIVASUR;6.0625729;-72.686072
15740;15;BOYACÁ;SIACHOQUE;5.4879559;-73.2119851
15753;15;BOYACÁ;SOATÁ;6.3218894;-72.7009715
